encounter_id,boss_name,zone_name,difficulty,difficulty_label,total_wipes,avg_boss_pct,pct_wipes_phase_1,pct_wipes_phase_2,pct_wipes_phase_3_plus,wipes_lt_1min,wipes_1_3min,wipes_3_5min,wipes_5plus_min,last_week_avg_boss_pct,progress_trend
3135,"Dimensius, the All-Devouring",Manaforge Omega,4,Heroic,17,43.8,52.9,35.3,11.8,1,8,3,5,37.6,-6.15
2902,Ulgrax the Devourer,Manaforge Omega,5,Mythic,1,98.6,100.0,0.0,0.0,1,0,0,0,98.6,0.0
2921,The Silken Court,Manaforge Omega,5,Mythic,1,60.0,100.0,0.0,0.0,0,1,0,0,60.0,0.0
2922,Queen Ansurek,Manaforge Omega,5,Mythic,3,24.2,0.0,66.7,33.3,0,2,1,0,24.2,0.0
3016,Chrome King Gallywix,Manaforge Omega,5,Mythic,1,69.9,100.0,0.0,0.0,0,1,0,0,69.9,0.0
3122,The Soul Hunters,Manaforge Omega,5,Mythic,81,63.5,100.0,0.0,0.0,2,60,14,5,59.7,-3.76
3129,Plexus Sentinel,Manaforge Omega,5,Mythic,17,56.1,41.2,58.8,0.0,1,8,6,2,32.0,-24.09
3130,Soulbinder Naazindhri,Manaforge Omega,5,Mythic,9,34.2,100.0,0.0,0.0,0,0,3,6,42.2,7.95
3131,Loom'ithar,Manaforge Omega,5,Mythic,54,56.9,66.7,33.3,0.0,5,18,17,14,63.1,6.13
3132,Forgeweaver Araz,Manaforge Omega,5,Mythic,107,62.7,92.5,7.5,0.0,9,70,17,11,35.3,-27.49
3133,Fractillus,Manaforge Omega,5,Mythic,64,45.0,100.0,0.0,0.0,2,33,25,4,52.3,7.36
3134,Nexus-King Salhadaar,Manaforge Omega,5,Mythic,365,61.6,56.2,32.1,11.8,59,210,54,42,44.8,-16.73
3135,"Dimensius, the All-Devouring",Manaforge Omega,5,Mythic,458,41.9,67.9,22.5,9.6,30,278,76,74,27.1,-14.79
2902,Ulgrax the Devourer,Nerub-ar Palace,3,Normal,1,100.0,100.0,0.0,0.0,1,0,0,0,100.0,0.0
2917,The Bloodbound Horror,Nerub-ar Palace,3,Normal,7,72.8,100.0,0.0,0.0,4,2,1,0,14.1,-58.67
2918,Rasha'nan,Nerub-ar Palace,3,Normal,6,53.9,100.0,0.0,0.0,5,1,0,0,23.4,-30.52
2919,Broodtwister Ovi'nax,Nerub-ar Palace,3,Normal,1,99.7,100.0,0.0,0.0,1,0,0,0,99.7,0.0
2921,The Silken Court,Nerub-ar Palace,3,Normal,18,48.8,61.1,38.9,0.0,2,9,7,0,37.5,-11.3
2922,Queen Ansurek,Nerub-ar Palace,3,Normal,14,33.6,35.7,50.0,14.3,0,6,6,2,39.2,5.55
2898,"Sikran, Captain of the Sureki",Nerub-ar Palace,4,Heroic,4,62.7,100.0,0.0,0.0,1,2,1,0,62.7,0.0
2902,Ulgrax the Devourer,Nerub-ar Palace,4,Heroic,1,32.9,100.0,0.0,0.0,0,0,1,0,32.9,0.0
2917,The Bloodbound Horror,Nerub-ar Palace,4,Heroic,11,43.5,100.0,0.0,0.0,2,2,4,3,100.0,56.52
2918,Rasha'nan,Nerub-ar Palace,4,Heroic,7,39.4,100.0,0.0,0.0,2,3,1,1,60.0,20.53
2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,18,45.4,100.0,0.0,0.0,0,5,7,6,22.1,-23.32
2920,Nexus-Princess Ky'veza,Nerub-ar Palace,4,Heroic,11,41.7,63.6,36.4,0.0,0,3,6,2,29.7,-12.02
2921,The Silken Court,Nerub-ar Palace,4,Heroic,40,64.7,72.5,12.5,15.0,1,28,4,7,65.8,1.08
2922,Queen Ansurek,Nerub-ar Palace,4,Heroic,140,55.7,82.1,14.3,3.6,20,85,26,9,49.1,-6.57
2898,"Sikran, Captain of the Sureki",Nerub-ar Palace,5,Mythic,31,50.9,100.0,0.0,0.0,3,16,11,1,49.1,-1.74
2902,Ulgrax the Devourer,Nerub-ar Palace,5,Mythic,15,46.8,26.7,73.3,0.0,1,4,3,7,98.6,51.73
2917,The Bloodbound Horror,Nerub-ar Palace,5,Mythic,23,47.0,100.0,0.0,0.0,0,14,9,0,19.7,-27.28
2918,Rasha'nan,Nerub-ar Palace,5,Mythic,57,32.0,100.0,0.0,0.0,4,30,22,1,38.5,6.47
2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,189,65.2,100.0,0.0,0.0,9,108,52,20,42.1,-23.11
2920,Nexus-Princess Ky'veza,Nerub-ar Palace,5,Mythic,233,66.4,89.7,10.3,0.0,23,170,35,5,51.3,-15.09
2921,The Silken Court,Nerub-ar Palace,5,Mythic,313,77.3,76.0,20.8,3.2,93,142,65,13,60.0,-17.26
2922,Queen Ansurek,Nerub-ar Palace,5,Mythic,290,54.9,67.6,30.0,2.4,17,147,114,12,24.2,-30.72
2422,Kel'Thuzad,Sanctum of Domination,3,Normal,4,51.6,100.0,0.0,0.0,1,0,2,1,51.6,0.0
2423,The Tarragrue,Sanctum of Domination,3,Normal,1,30.7,100.0,0.0,0.0,0,0,0,1,30.7,0.0
2429,The Nine,Sanctum of Domination,3,Normal,5,39.9,0.0,100.0,0.0,0,1,2,2,95.8,55.88
2430,Painsmith Raznal,Sanctum of Domination,3,Normal,7,41.4,0.0,57.1,42.9,0,2,2,3,4.2,-37.22
2431,Fatescribe Roh-Kalo,Sanctum of Domination,3,Normal,2,13.2,100.0,0.0,0.0,0,0,0,2,15.4,2.22
2432,Remnant of Ner'zhul,Sanctum of Domination,3,Normal,1,9.8,0.0,0.0,100.0,0,0,1,0,9.8,0.0
2433,The Eye of the Jailer,Sanctum of Domination,3,Normal,2,55.6,100.0,0.0,0.0,1,0,1,0,12.8,-42.83
2436,Guardian of the First Ones,Sanctum of Domination,3,Normal,6,55.6,100.0,0.0,0.0,1,3,0,2,53.3,-2.24
2422,Kel'Thuzad,Sanctum of Domination,4,Heroic,15,45.8,100.0,0.0,0.0,0,2,5,8,0.0,-45.77
2423,The Tarragrue,Sanctum of Domination,4,Heroic,2,85.9,100.0,0.0,0.0,0,2,0,0,85.9,0.0
2429,The Nine,Sanctum of Domination,4,Heroic,15,59.1,6.7,93.3,0.0,1,2,8,4,99.8,40.68
2430,Painsmith Raznal,Sanctum of Domination,4,Heroic,33,44.4,12.1,63.6,24.2,0,5,20,8,48.4,4.01
2431,Fatescribe Roh-Kalo,Sanctum of Domination,4,Heroic,32,50.9,100.0,0.0,0.0,0,14,5,13,30.7,-20.16
2432,Remnant of Ner'zhul,Sanctum of Domination,4,Heroic,24,38.6,0.0,8.3,91.7,0,14,8,2,31.0,-7.68
