player_name,player_class,realm,role,primary_spec,kills_tracked,avg_throughput_per_second,best_throughput_per_second,avg_rank_percent,best_rank_percent,avg_item_level,last_seen_date
Slînks,Hunter,TwistingNether,dps,Survival,12,2063,2986,22.2,39.0,194.7,2021-02-07
Papaja,Mage,TwistingNether,dps,Fire,5,1973,2610,20.6,24.0,176.8,2021-03-25
Vôìd,Warlock,Ravencrest,dps,Affliction,2,1950,2583,23.5,40.0,212.0,2021-03-25
Carbomb,Warlock,TwistingNether,dps,Affliction,10,1878,2757,9.7,15.0,187.5,2021-01-31
Aktais,Mage,TwistingNether,dps,Frost,2,1789,1989,13.0,17.0,193.0,2021-02-07
Líeve,Druid,Draenor,dps,Balance,1,1718,1718,1.0,1.0,233.0,2021-09-03
Fibre,Mage,Turalyon,dps,Fire,51,1687,2731,5.2,17.0,196.9,2021-03-07
Fistfilé,Monk,TwistingNether,dps,Windwalker,14,1679,2184,6.8,17.0,172.2,2021-02-21
Babanerd,Warrior,Blackmoore,dps,Arms,5,1645,1902,19.4,30.0,191.0,2021-03-25
Annoyance,Warlock,TarrenMill,dps,Destruction,2,1637,1791,9.0,12.0,181.0,2021-02-07
Curseddrood,Druid,Draenor,dps,Feral,3,1269,2025,17.0,28.0,177.0,2021-03-25
Juodoji,Hunter,Turalyon,dps,Marksmanship,1,0,0,0.0,0.0,null,2024-09-17
Vonky,Druid,Mannoroth,dps,Balance,4,null,null,null,null,655.0,2025-05-25
Bamhurger,Monk,TwistingNether,dps,Windwalker,2,null,null,null,null,201.0,2021-10-07
Akiyasutsut,Monk,TarrenMill,healer,Mistweaver,2,1012916,1084433,92.5,93.0,728.0,2025-12-01
Galbolt,Shaman,Silvermoon,healer,Restoration,1,743165,743165,98.0,98.0,714.0,2025-12-01
Koyaanis,Paladin,Eredar,healer,Holy,8,648963,1053027,96.1,98.0,681.0,2025-06-18
Prejunio,Priest,BurningLegion,healer,Discipline,2,610245,612777,69.5,74.0,722.0,2025-12-01
Bensmonk,Monk,Kazzak,healer,Mistweaver,3,531973,609237,86.0,90.0,659.0,2025-03-19
Tripelino,Shaman,Drak'thul,healer,Restoration,5,530188,727624,94.2,97.0,712.0,2025-09-14
Miaomiao,Monk,Sylvanas,healer,Mistweaver,1,520268,520268,null,null,727.0,2026-01-20
Velica,Druid,TarrenMill,healer,Restoration,4,445359,496570,96.5,98.0,724.0,2025-12-01
Caterm,Monk,TwistingNether,healer,Mistweaver,10,435939,689505,78.5,92.0,640.1,2025-03-16
Cutefist,Monk,TwistingNether,healer,Mistweaver,91,419779,838851,63.6,96.0,658.2,2025-07-16
Sonydl,Monk,Archimonde,healer,Mistweaver,4,406675,486295,45.8,54.0,720.0,2025-12-01
Tweet,Monk,TwistingNether,healer,Mistweaver,23,395051,740149,67.6,95.0,636.0,2025-03-16
Pocoyo,Monk,TwistingNether,healer,Mistweaver,2,382133,478946,41.0,44.0,665.0,2025-05-25
Benspala,Paladin,Kazzak,healer,Holy,2,365467,501962,88.0,94.0,660.0,2025-07-16
Cake,Priest,Silvermoon,healer,Discipline,8,308607,392373,86.8,98.0,642.0,2025-03-09
Chubbyweaver,Monk,Eredar,healer,Mistweaver,3,300605,380841,58.3,87.0,640.0,2025-03-09
Lovejoy,Priest,TwistingNether,healer,Holy,1,247988,247988,87.0,87.0,682.0,2025-06-18
Satanakos,Shaman,AzjolNerub,healer,Restoration,1,246135,246135,74.0,74.0,727.0,2025-12-01
Narue,Priest,Alleria,healer,Discipline,3,243993,310794,56.0,66.0,640.0,2025-03-23
Diesofcringe,Paladin,TwistingNether,healer,Holy,8,238266,295398,54.4,78.0,643.0,2025-05-18
Nimilora,Priest,Anetheron,healer,Discipline,7,225747,305725,66.6,80.0,672.0,2025-05-18
Transendence,Monk,TwistingNether,healer,Mistweaver,8,225269,252529,21.9,32.0,613.0,2025-03-23
Pellebiskop,Priest,TarrenMill,healer,Discipline,4,219169,258263,58.8,68.0,642.8,2025-05-25
Kròpta,Shaman,Hyjal,healer,Restoration,1,214879,214879,81.0,81.0,674.0,2025-06-18
Yevie,Priest,TwistingNether,healer,Discipline,44,214237,432157,66.2,94.0,579.2,2025-03-24
Sternritters,Paladin,Kazzak,healer,Holy,2,201361,225988,80.5,91.0,647.0,2025-03-09
Pohjolashm,Shaman,Stormreaver,healer,Restoration,5,193711,243399,78.4,83.0,660.0,2025-05-18
Gnamethistle,Monk,Sylvanas,healer,Mistweaver,7,192227,276566,63.1,89.0,626.0,2024-11-24
Coffeebeans,Shaman,TwistingNether,healer,Restoration,4,188158,283588,70.5,90.0,642.3,2025-05-04
Tyseras,Priest,ArgentDawn,healer,Discipline,8,182978,217550,71.4,85.0,612.0,2024-10-30
Evereld,Priest,TwistingNether,healer,Holy,180,181119,463965,69.6,99.0,686.0,2026-01-20
Loshapas,Shaman,Draenor,healer,Restoration,1,178779,178779,97.0,97.0,598.0,2024-09-17
Dxdydz,Shaman,TarrenMill,healer,Restoration,1,175748,175748,72.0,72.0,700.0,2025-09-14
Vôrpal,Shaman,Thrall,healer,Restoration,2,174194,218573,55.5,58.0,665.0,2025-06-18
Cuddles,Priest,TwistingNether,healer,Discipline,34,173274,229066,73.2,97.0,606.4,2024-10-14
Methor,Priest,Tyrande,healer,Discipline,5,168935,231109,23.8,33.0,642.0,2025-03-09
Arádior,Priest,Stormrage,healer,Discipline,3,164093,234772,43.0,65.0,649.0,2025-03-23
Wakaberry,Druid,TwistingNether,healer,Restoration,4,157557,185610,93.0,97.0,632.8,2024-12-29
Neyaara,Paladin,TwistingNether,healer,Holy,429,155538,1253472,60.6,99.0,554.5,2026-02-02
Fauxcoated,Monk,TwistingNether,healer,Mistweaver,25,154298,373609,35.6,60.0,569.2,2025-09-14
Asdfsds,Priest,Kazzak,healer,Discipline,1,153164,153164,35.0,35.0,608.0,2024-09-17
Yevoo,Monk,TwistingNether,healer,Mistweaver,26,151898,418541,69.1,94.0,539.7,2025-03-09
Bennedictus,Priest,Darkspear,healer,Holy,1,142460,142460,75.0,75.0,683.0,2025-06-18
Yuzira,Druid,Sylvanas,healer,Restoration,6,133972,158236,91.5,95.0,627.0,2024-10-30
Hpal,Paladin,TwistingNether,healer,Holy,11,131783,280643,28.5,54.0,436.0,2025-09-14
Labyrìnth,Monk,ArgentDawn,healer,Mistweaver,34,126862,323421,72.9,93.0,615.8,2024-11-24
Roropriest,Priest,Kazzak,healer,Holy,7,123960,200943,62.6,93.0,589.6,2025-03-26
Porocher,Shaman,Elune,healer,Restoration,1,123515,123515,60.0,60.0,662.0,2025-05-18
Peeheal,Priest,TwistingNether,healer,Discipline,6,118948,146054,50.0,76.0,583.0,2024-09-15
Sotruebestie,Druid,TarrenMill,healer,Mistweaver,1,117576,117576,80.0,80.0,649.0,2025-03-09
Tiskonlone,Shaman,TarrenMill,healer,Restoration,4,116666,153631,81.0,93.0,636.0,2024-12-29
Dähl,Druid,Al'Akir,healer,Restoration,8,116088,168795,47.6,60.0,674.0,2025-06-18
Loserboy,Shaman,Doomhammer,healer,Restoration,2,115552,206282,56.5,76.0,726.0,2025-12-01
Veylia,Paladin,Ravencrest,healer,Holy,1,114918,114918,92.0,92.0,608.0,2024-09-17
