player_name,player_class,total_deaths,kills_tracked,deaths_per_kill,most_common_killing_blow,most_common_killing_blow_count,zones_died_in,last_death_timestamp_ms
Królu,Warlock,14,2,7.0,Dying Flare,3,"[""Blackrock Depths""]",5334406
Holizer,Paladin,14,2,7.0,Blaze,3,"[""Blackrock Depths""]",5335966
Ethernallol,Druid,7,0,7.0,Venomous Rain,2,"[""Nerub-ar Palace""]",5807803
Legpress,Warrior,7,0,7.0,Big Bad Buncha Bombs,2,"[""Liberation of Undermine""]",2910511
Floorpovjaz,DemonHunter,7,0,7.0,Canister Detonation,4,"[""Liberation of Undermine""]",2910354
Sasuqt,Shaman,7,1,7.0,Venom Nova,2,"[""Nerub-ar Palace""]",7697676
Oyder,Mage,307,45,6.82,Tyranny,30,"[""Manaforge Omega""]",24950887
Lisicata,Druid,13,2,6.5,Scatterblast Canisters,5,"[""Liberation of Undermine""]",8553449
Gnearning,Mage,13,2,6.5,Oblivion,5,"[""Manaforge Omega""]",3439462
Thehóff,Warrior,6,0,6.0,Poison Bolt,3,"[""Nerub-ar Palace""]",5805297
Ciapanqulo,DemonHunter,6,0,6.0,Melee,4,"[""Nerub-ar Palace""]",5794055
Завармаг,Mage,6,0,6.0,Reckless Impact,3,"[""Nerub-ar Palace""]",5777566
Slotmachine,DeathKnight,6,0,6.0,Poison Bolt,5,"[""Nerub-ar Palace""]",5799065
Kronkfar,Warrior,6,0,6.0,Reckless Impact,3,"[""Nerub-ar Palace""]",5784629
Holyflames,Priest,6,0,6.0,Canister Detonation,3,"[""Liberation of Undermine""]",2882936
Wannerdk,DeathKnight,68,12,5.67,Poison Burst,15,"[""Nerub-ar Palace""]",21281113
Loknahar,Shaman,326,64,5.09,Reckless Impact,24,"[""Liberation of Undermine"",""Nerub-ar Palace""]",21320218
Chikenplain,Shaman,10,2,5.0,Oblivion,3,"[""Manaforge Omega""]",4146367
Snich,Warrior,5,0,5.0,Reckless Impact,3,"[""Nerub-ar Palace""]",5640966
Witheredrosê,DeathKnight,5,0,5.0,Venomous Rain,3,"[""Nerub-ar Palace""]",5644087
Пигтрип,DeathKnight,5,0,5.0,Venomous Rain,3,"[""Nerub-ar Palace""]",5652666
Раннару,Paladin,5,0,5.0,Venomous Rain,2,"[""Nerub-ar Palace""]",5658530
Robmaster,Warrior,5,0,5.0,Acrid Presence,2,"[""Nerub-ar Palace""]",7695712
